id,name,overall_score,weight,thickness,height,width,volume,resolution,pixel_density,screen_size,gorilla_glass_version,refresh_rate,luminance,contrast_ratio,gpu_clock_speed,ram_speed,cpu_speed,cpu_threads,megapixels__main_camera,megapixels__front_camera,pixel_size__main_camera,video_recording__main_camera,wide_aperture__main_camera,number_of_microphones,battery_power,download_speed,waterproof_depth_rating,ingress_protection__ip__rating,battery_life,directx_version,ram,maximum_light_sensitivity,response_time,lowest_potential_operating_temperature,maximum_operating_temperature,emojis_available,usb_version,openvg_version,upload_speed,field_of_view,floating_point_performance,gpu_memory_speed,front_end_width,pixel_rate,bits_executed_at_a_time,warranty_period,opengl_version,exposure_time,maximum_memory_bandwidth,opencl_version,opengl_es_version,internal_storage,semiconductor_size,power_on_delay,number_of_flash_leds,bluetooth_version,maximum_amount_of_external_memory_supported,antutu_benchmark_score,memory_bandwidth,minimum_focal_length,vfp_version,optical_zoom,wide_aperture__front_camera,geekbench_result,continuous_shooting_at_high_resolution,charge_time,movie_bitrate,included_sd_card__memory_size,maximum_focal_length,more_languages_supported,body_sar__us,head_sar__us,head_sar__eu,shutter_lag
453,Samsung Galaxy A51 (128GB / 4GB RAM),69,172g,7.9mm,158.5mm,73.6mm,92.16cm³,1080 x 2400px,405ppi,"6.5""",3,,,,,3200MHz (Samsung Exynos 9611),4 x 2.3GHz & 4 x 1.7GHz (Samsung Exynos 9611),,48MP & 12MP & 5MP & 5MP,32MP,0.8µm & 1.12µm & 1.12µm & 1.12µm,2160 x 30fps,f/2 & f/2.2 & f/2.4 & f/2.2,2,4000mAh,600MBits/s (Samsung Exynos 9611),,,,12 (Samsung Exynos 9611),4GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Samsung Galaxy A51 (64GB / 4GB),69,172g,7.9mm,158.5mm,73.6mm,92.16cm³,1080 x 2400px,405ppi,"6.5""",3,,,,,3200MHz (Samsung Exynos 9611),4 x 2.3GHz & 4 x 1.7GHz (Samsung Exynos 9611),,48MP & 12MP & 5MP & 5MP,32MP,0.8µm & 1.12µm & 1.12µm & 1.12µm,2160 x 30fps,f/2 & f/2.2 & f/2.4 & f/2.2,2,4000mAh,600MBits/s (Samsung Exynos 9611),,,,12 (Samsung Exynos 9611),4GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Samsung Galaxy A51,69,172g,7.9mm,158.5mm,73.6mm,92.16cm³,1080 x 2400px,405ppi,"6.5""",3,,,,,3200MHz (Samsung Exynos 9611),4 x 2.3GHz & 4 x 1.7GHz (Samsung Exynos 9611),,48MP & 12MP & 5MP & 5MP,32MP,0.8µm & 1.12µm & 1.12µm & 1.12µm,2160 x 30fps,f/2 & f/2.2 & f/2.4 & f/2.2,2,4000mAh,600MBits/s (Samsung Exynos 9611),,,,12 (Samsung Exynos 9611),8GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Oppo A5 (2020) (64GB / 3GB RAM),68,195g,9.1mm,163.6mm,75.6mm,112.55cm³,720 x 1600px,270ppi,"6.5""",3,,,,,1866MHz (Qualcomm Snapdragon 665),4 x 2GHz & 4 x 1.8GHz (Qualcomm Snapdragon 665),8 (Qualcomm Snapdragon 665),12MP & 8MP & 2MP & 2MP,8MP,1.25µm & 1.12µm & 1.75µm & 1.75µm,2160 x 30fps,f/1.8 & f/2.25 & f/2.4 & f/2.4,2,5000mAh,400MBits/s,,,,12 (Qualcomm Snapdragon 665),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Asus Zenfone 4 Pro 64GB,68,175g,7.6mm,156.9mm,75.6mm,,1080 x 1920px,380ppi,"5.5""",,,,,710MHz (Qualcomm Snapdragon 835),1866MHz (Qualcomm Snapdragon 835),8 x 2.35GHz,8 (Qualcomm Snapdragon 835),12MP,8MP,1.4µm,2160 x 30fps,f/1.70,3,3600mAh,600MBits/s,,,17h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Motorola Moto Z3,68,156g,6.75mm,156.5mm,76.5mm,,1080 x 2160px,402ppi,"6.01""",3,,,,710MHz (Qualcomm Snapdragon 835),1866MHz (Qualcomm Snapdragon 835),4 x 2.45GHz & 4 x 1.9GHz (Qualcomm Snapdragon 835),8 (Qualcomm Snapdragon 835),12MP & 12MP,8MP,1.25µm & 1.25µm,2160 x 30fps,,4,3000mAh,300MBits/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,Xiaomi Mi 5s Plus,68,168g,8mm,154.6mm,77.7mm,96.1cm³,1080 x 1920px,428ppi,"5.7""",,,,,650MHz (Qualcomm Snapdragon 821 MSM8996 Pro),1866MHz (Qualcomm Snapdragon 821 MSM8996 Pro),4 x 2.15GHz,4 (Qualcomm Snapdragon 821 MSM8996 Pro),13MP & 13MP,4MP,1.55µm,2160 x 30fps,f/2 & f/2,2,3800mAh,600MBits/s (Qualcomm Snapdragon 821 MSM8996 Pro),,,,12 (Qualcomm Snapdragon 821 MSM8996 Pro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Motorola Moto G8 Power,68,197g,9.6mm,156mm,75.8mm,113.52cm³,1080 x 2300px,399ppi,"6.4""",,,,,,1866MHz (Qualcomm Snapdragon 665),4 x 2GHz & 4 x 1.8GHz (Qualcomm Snapdragon 665),8 (Qualcomm Snapdragon 665),16MP & 8MP & 8MP & 2MP,16MP,1.12µm & 1.12µm & 1.12µm & 1.75µm,2160 x 30fps,f/1.7 & f/2.2 & f/2.2 & f/2.2,2,5000mAh,600MBits/s,,,,12 (Qualcomm Snapdragon 665),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Motorola Moto Z2 Play Dual SIM,68,145g,6mm,156.2mm,76.2mm,71.41cm³,1080 x 1920px,403ppi,"5.5""",4,,,,650MHz (Qualcomm Snapdragon 626),933MHz (Qualcomm Snapdragon 626),8 x 2.2GHz (Qualcomm Snapdragon 626),8 (Qualcomm Snapdragon 626),12MP,5MP,1.4µm,2160 x 60fps,f/1.70,3,3000mAh,450MBits/s,,,30h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Motorola Moto Z2 Play 32GB,68,145g,6mm,156.2mm,76.2mm,71.41cm³,1080 x 1920px,403ppi,"5.5""",4,,,,650MHz (Qualcomm Snapdragon 626),933MHz (Qualcomm Snapdragon 626),8 x 2.2GHz (Qualcomm Snapdragon 626),8 (Qualcomm Snapdragon 626),12MP,5MP,1.4µm,2160 x 60fps,f/1.70,3,3000mAh,450MBits/s,,,30h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
